scene_id,mode,n,grid_size,alg,plans,steps,elapsed_times,costs
0,mobile,4,"[100, 200]",Labbe,"[[35091, 7568, 9186, 35137, 44893, 14873, 52587, 65124, 13473]]",[147],[0.3274705410003662],[30.520000000000003]
1,mobile,4,"[100, 200]",Labbe,"[[5108, 34908, 64969, 54960, 30048]]",[15],[0.027123689651489258],[14.22]
2,mobile,4,"[100, 200]",Labbe,"[[24949, 4891, 54687, 10036, 24960, 64905, 55134, 34685, 53376]]",[164],[0.3456997871398926],[27.360000000000003]
3,mobile,4,"[100, 200]",Labbe,"[[74960, 5113, 75102, 53242, 53640, 54786, 25638, 53980]]",[38],[0.08567380905151367],[22.980000000000004]
4,mobile,4,"[100, 200]",Labbe,"[[35040, 14182, 44839, 45251, 55122, 64856, 50532]]",[28],[0.0585019588470459],[20.980000000000004]
5,mobile,4,"[100, 200]",Labbe,"[[25050, 74837, 13585, 6580, 54502, 45331, 12987, 15103, 50774, 11301]]",[191],[0.408738374710083],[31.72]
6,mobile,4,"[100, 200]",Labbe,"[[13237, 64895, 55114, 30176, 54703, 55088, 4838, 54659, 14713, 51840, 14695]]",[103],[0.22153997421264648],[26.4]
7,mobile,4,"[100, 200]",Labbe,"[[14050, 9449, 75184, 15052, 25051, 8129, 75049, 54385]]",[475],[1.00339674949646],[26.580000000000002]
8,mobile,4,"[100, 200]",Labbe,"[[34922, 64917, 8981, 51651, 10582, 44857, 14640, 49371, 14063]]",[95],[0.2104477882385254],[33.92]
9,mobile,4,"[100, 200]",Labbe,"[[75039, 12107, 45166, 35176, 5058, 52507, 32556]]",[78],[0.16986989974975586],[21.94]
